Website,Acceptance Status,Green Icons Count
mit.edu,Not Compliant,0
harvard.edu,Compliant,3
stanford.edu,Not Compliant,3
berkeley.edu,Not Compliant,3
cornell.edu,Not Compliant,3
washington.edu,Not Compliant,3
princeton.edu,Compliant,3
academia.edu,Partially,4
columbia.edu,Compliant,5
umich.edu,Compliant,5
yale.edu,Compliant,4
psu.edu,Compliant,5
upenn.edu,Compliant,5
uci.edu,Partially,3
umn.edu,Error,0
wisc.edu,Compliant,4
jhu.edu,Error,0
ucla.edu,Partially,3
cmu.edu,Partially,3
si.edu,Partially,3
uchicago.edu,Partially,3
utexas.edu,Partially,3
uiuc.edu,Error,0
nyu.edu,Error,5
purdue.edu,Error,3
usc.edu,Partially,4
ucsd.edu,Not Compliant,3
ufl.edu,Not Compliant,3
duke.edu,Partially,4
umd.edu,Not Compliant,3
unc.edu,Partially,3
msu.edu,Error,2
illinois.edu,Partially,4
ucdavis.edu,Not Compliant,3
northwestern.edu,Not Compliant,3
colorado.edu,Compliant,3
asu.edu,Error,2
rutgers.edu,Error,3
arizona.edu,Error,2
virginia.edu,Error,2
brookings.edu,Not Compliant,3
osu.edu,Not Compliant,3
bu.edu,Not Compliant,3
tamu.edu,Not Compliant,3
wustl.edu,Error,0
ncsu.edu,Partially,3
utah.edu,Partially,4
pitt.edu,Partially,3
ucsb.edu,Partially,3
georgetown.edu,Compliant,3
indiana.edu,Compliant,3
tufts.edu,Compliant,3
caltech.edu,Partially,4
unl.edu,Compliant,4
vt.edu,Partially,2
hawaii.edu,Not Compliant,3
cuny.edu,Error,0
brown.edu,Not Compliant,3
hbs.edu,Compliant,5
iu.edu,Not Compliant,3
gatech.edu,Not Compliant,3
rochester.edu,Not Compliant,3
umass.edu,Error,5
uga.edu,Partially,3
vanderbilt.edu,Compliant,3
wsu.edu,Error,2
usf.edu,Error,3
fsu.edu,Error,3
dartmouth.edu,Error,0
byu.edu,Error,3
unimelb.edu.au,Error,4
uic.edu,Error,3
buffalo.edu,Error,1
emory.edu,Error,3
ucsc.edu,Error,4
ucr.edu,Error,3
missouri.edu,Error,4
uh.edu,Error,3
rpi.edu,Error,3
utk.edu,Error,4
miami.edu,Error,0
nus.edu.sg,Error,2
unm.edu,Error,3
northeastern.edu,Error,3
case.edu,Error,3
bc.edu,Error,3
clemson.edu,Error,3
rit.edu,Error,2
sydney.edu.au,Error,2
ucf.edu,Error,3
lsu.edu,Error,3
temple.edu,Error,2
sdsu.edu,Error,3
fordham.edu,Error,3
drexel.edu,Error,2
american.edu,Error,3
uvm.edu,Error,3
ub.edu,Error,3
vcu.edu,Error,0
ou.edu,Error,1
tulane.edu,Error,3
auburn.edu,Error,3
baylor.edu,Error,3
wvu.edu,Error,4
uab.edu,Error,3
csun.edu,Error,3
rmit.edu.au,Error,2
umbc.edu,Error,0
alaska.edu,Error,3
fullerton.edu,Error,3
uwm.edu,Error,3
unlv.edu,Error,3
stonybrook.edu,Error,3
sfsu.edu,Error,4
du.edu,Error,3
ucpress.edu,Error,3
albany.edu,Error,3
depaul.edu,Error,3
artic.edu,Error,3
niu.edu,Error,3
unu.edu,Error,3
upf.edu,Error,3
nau.edu,Error,3
montana.edu,Error,3
swarthmore.edu,Compliant,3
umkc.edu,Partially,3
toronto.edu,Error,0
iit.edu,Partially,3
umb.edu,Not Compliant,2
chop.edu,Not Compliant,2
marquette.edu,Not Compliant,3
uta.edu,Partially,4
jhsph.edu,Not Compliant,3
ohio.edu,Partially,3
louisville.edu,Error,3
slu.edu,Error,3
wpi.edu,Error,3
csulb.edu,Partially,3
odu.edu,Error,0
jmu.edu,Error,0
maine.edu,Partially,1
sandiego.edu,Error,3
austlii.edu.au,Compliant,5
ucanr.edu,Partially,4
usra.edu,Not Compliant,3
villanova.edu,Error,0
liberty.edu,Not Compliant,3
njit.edu,Error,2
uj.edu.pl,Error,0
