Website,Compliance Status,Granular Consent Status,Cookies Before,Cookies After,Country Code,Continent,Website_clean
https://mit.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,16,16,unknown,Unknown,mit.edu
https://harvard.edu,Compliant,No Granular Options Found,23,32,unknown,Unknown,harvard.edu
https://stanford.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,39,39,unknown,Unknown,stanford.edu
https://berkeley.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,35,35,unknown,Unknown,berkeley.edu
https://cornell.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,45,45,unknown,Unknown,cornell.edu
https://washington.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,83,83,unknown,Unknown,washington.edu
https://princeton.edu,Compliant,No Granular Options Found,85,82,unknown,Unknown,princeton.edu
https://academia.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,No Granular Options Found,93,93,unknown,Unknown,academia.edu
https://columbia.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,98,98,unknown,Unknown,columbia.edu
https://umich.edu,Compliant,Granular Consent Evaluated,95,98,unknown,Unknown,umich.edu
https://yale.edu,Compliant,Granular Consent Evaluated,103,102,unknown,Unknown,yale.edu
https://psu.edu,Compliant,Granular Consent Evaluated,107,106,unknown,Unknown,psu.edu
https://upenn.edu,Compliant,Granular Consent Evaluated,106,108,unknown,Unknown,upenn.edu
http://uci.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,No Granular Options Found,108,108,unknown,Unknown,uci.edu
https://umn.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,umn.edu
https://wisc.edu,Compliant,Granular Consent Evaluated,123,125,unknown,Unknown,wisc.edu
https://jhu.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,jhu.edu
http://ucla.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,137,137,unknown,Unknown,ucla.edu
https://cmu.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,No Granular Options Found,143,143,unknown,Unknown,cmu.edu
https://si.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,161,161,unknown,Unknown,si.edu
https://uchicago.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,173,173,unknown,Unknown,uchicago.edu
https://utexas.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,172,172,unknown,Unknown,utexas.edu
http://uiuc.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,uiuc.edu
http://nyu.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,nyu.edu
http://purdue.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,purdue.edu
https://usc.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,195,195,unknown,Unknown,usc.edu
http://ucsd.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,201,201,unknown,Unknown,ucsd.edu
https://ufl.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,196,196,unknown,Unknown,ufl.edu
https://duke.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,No Granular Options Found,205,205,unknown,Unknown,duke.edu
https://umd.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,211,211,unknown,Unknown,umd.edu
https://unc.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,210,210,unknown,Unknown,unc.edu
http://msu.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,msu.edu
https://illinois.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,214,214,unknown,Unknown,illinois.edu
https://ucdavis.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,238,238,unknown,Unknown,ucdavis.edu
https://northwestern.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,233,233,unknown,Unknown,northwestern.edu
http://colorado.edu,Compliant,Granular Consent Evaluated,235,236,unknown,Unknown,colorado.edu
http://asu.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,asu.edu
http://rutgers.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,rutgers.edu
http://arizona.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,arizona.edu
http://virginia.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,virginia.edu
https://brookings.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,276,276,unknown,Unknown,brookings.edu
https://bu.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,275,275,unknown,Unknown,bu.edu
https://osu.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,285,285,unknown,Unknown,osu.edu
https://tamu.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,278,278,unknown,Unknown,tamu.edu
http://wustl.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown,wustl.edu
http://ncsu.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,299,299,unknown,Unknown,ncsu.edu
http://utah.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,294,294,unknown,Unknown,utah.edu
https://pitt.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,294,294,unknown,Unknown,pitt.edu
https://ucsb.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,297,297,unknown,Unknown,ucsb.edu
