Website,Compliance Status,Granular Consent Status,Cookies Before,Cookies After,Country Code,Continent
https://mit.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,16,16,unknown,Unknown
https://harvard.edu,Compliant,No Granular Options Found,23,32,unknown,Unknown
https://stanford.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,39,39,unknown,Unknown
https://berkeley.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,35,35,unknown,Unknown
https://cornell.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,45,45,unknown,Unknown
https://washington.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,83,83,unknown,Unknown
https://princeton.edu,Compliant,No Granular Options Found,85,82,unknown,Unknown
https://academia.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,No Granular Options Found,93,93,unknown,Unknown
https://columbia.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,98,98,unknown,Unknown
https://umich.edu,Compliant,Granular Consent Evaluated,95,98,unknown,Unknown
https://yale.edu,Compliant,Granular Consent Evaluated,103,102,unknown,Unknown
https://psu.edu,Compliant,Granular Consent Evaluated,107,106,unknown,Unknown
https://upenn.edu,Compliant,Granular Consent Evaluated,106,108,unknown,Unknown
http://uci.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,No Granular Options Found,108,108,unknown,Unknown
https://umn.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown
https://wisc.edu,Compliant,Granular Consent Evaluated,123,125,unknown,Unknown
https://jhu.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown
http://ucla.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,137,137,unknown,Unknown
https://cmu.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,No Granular Options Found,143,143,unknown,Unknown
https://si.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,161,161,unknown,Unknown
https://uchicago.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,173,173,unknown,Unknown
https://utexas.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,172,172,unknown,Unknown
http://uiuc.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown
http://nyu.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown
http://purdue.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0,unknown,Unknown
https://usc.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,195,195,unknown,Unknown
http://ucsd.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,201,201,unknown,Unknown
https://ufl.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,196,196,unknown,Unknown
https://duke.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,No Granular Options Found,205,205,unknown,Unknown
