Website,Compliance Status,Granular Consent Status,Cookies Before,Cookies After
https://mit.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,16,16
https://harvard.edu,Compliant,No Granular Options Found,23,32
https://stanford.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,39,39
https://berkeley.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,35,35
https://cornell.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,45,45
https://washington.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,83,83
https://princeton.edu,Compliant,No Granular Options Found,85,82
https://academia.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,No Granular Options Found,93,93
https://columbia.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,98,98
https://umich.edu,Compliant,Granular Consent Evaluated,95,98
https://yale.edu,Compliant,Granular Consent Evaluated,103,102
https://psu.edu,Compliant,Granular Consent Evaluated,107,106
https://upenn.edu,Compliant,Granular Consent Evaluated,106,108
https://uci.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,70,70
https://umn.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0
https://wisc.edu,Compliant,Granular Consent Evaluated,123,125
https://jhu.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0
https://ucla.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,98,98
https://cmu.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,No Granular Options Found,143,143
https://si.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,161,161
https://uchicago.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,173,173
https://utexas.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,172,172
http://uiuc.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0
https://nyu.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,135,135
https://purdue.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,161,170
https://usc.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,195,195
https://ucsd.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,170,170
https://ufl.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,196,196
https://duke.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,No Granular Options Found,205,205
https://umd.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,211,211
https://unc.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,210,210
https://msu.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,201,201
http://illinois.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,186,186
http://ucdavis.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0
http://northwestern.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,201,201
http://colorado.edu,Compliant,Granular Consent Evaluated,235,236
https://asu.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,201,201
https://rutgers.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,230,230
https://arizona.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,228,228
